Date/heure;O3;NO2;CO;PM10
01.11.2007;22.2;45.9;0.60;40.9
02.11.2007;25.8;51.6;0.80;49.7
03.11.2007;16.7;45.4;0.91;52.7
04.11.2007;37.3;35.0;0.66;32.7
05.11.2007;36.3;48.1;0.62;30.4
06.11.2007;47.0;52.4;0.71;35.2
07.11.2007;24.1;57.0;0.66;36.4
08.11.2007;55.8;49.5;0.51;23.5
09.11.2007;67.6;32.0;0.32;11.6
10.11.2007;60.1;29.0;0.34;15.4
11.11.2007;61.2;20.2;0.27;5.8
12.11.2007;58.5;47.5;0.50;16.9
13.11.2007;55.9;49.9;0.52;28.5
14.11.2007;57.2;46.9;0.52;11.9
15.11.2007;24.3;43.0;0.53;13.6
16.11.2007;31.8;50.0;0.62;36.5
17.11.2007;35.8;48.6;0.68;40.4
18.11.2007;48.1;55.4;0.74;48.3
19.11.2007;17.1;71.1;0.99;62.3
20.11.2007;14.1;72.5;1.08;64.7
21.11.2007;3.7;74.4;1.41;67.0
22.11.2007;3.1;57.9;1.27;58.0
23.11.2007;10.5;61.3;1.05;37.2
24.11.2007;7.8;44.1;0.63;19.9
